Date,Open,High,Low,Close
1/1/2019,1187.2732,1196.2232,1183.8359,1185.8526
1/2/2019,1185.8731,1186.9344,1180.2974,1180.4287
1/3/2019,1180.4287,1185.5265,1178.0485,1178.0115
1/6/2019,1178.0115,1181.923,1170.0397,1170.7913
1/7/2019,1170.7913,1181.215,1170.3602,1177.4649
1/8/2019,1177.4864,1180.9041,1175.8284,1177.0659
1/9/2019,1177.0269,1183.17,1176.7589,1179.3575
1/10/2019,1179.3575,1183.1874,1179.0389,1180.8378
1/13/2019,1181.3353,1182.4403,1173.2931,1175.0546
1/14/2019,1174.4275,1186.8661,1175.3827,1178.0268
1/15/2019,1178.1499,1195.5402,1178.6199,1195.5355
1/16/2019,1195.5355,1200.4282,1187.8194,1187.9668
1/17/2019,1187.9668,1190.7326,1186.2445,1187.7656
1/20/2019,1189.1072,1191.4148,1176.7805,1178.9193
1/21/2019,1178.9193,1179.3534,1166.7989,1168.0554
1/22/2019,1168.0554,1172.5833,1162.5592,1168.8335
1/23/2019,1168.8335,1173.1226,1167.7941,1172.9801
1/24/2019,1172.5293,1175.505,1169.8616,1172.7755
1/27/2019,1172.7755,1173.2095,1160.6792,1162.092
1/28/2019,1162.0913,1164.8856,1161.3716,1164.8856
1/29/2019,1164.8856,1165.2432,1159.6233,1160.9911
1/30/2019,1161.0142,1163.4943,1159.2178,1160.5903
1/31/2019,1160.5903,1163.9088,1160.0358,1161.6255
2/3/2019,1161.6255,1161.6255,1151.7604,1153.1225
2/4/2019,1153.1225,1155.1524,1143.9704,1144.2679
2/5/2019,1144.2679,1149.5574,1142.7209,1147.0999
2/6/2019,1147.0999,1148.1255,1138.3998,1139.7223
2/7/2019,1139.7543,1141.1382,1137.0777,1139.5726
2/10/2019,1139.6423,1140.1483,1125.5781,1127.5266
2/11/2019,1127.5266,1132.6878,1124.4101,1128.863
2/12/2019,1128.8631,1132.4962,1126.0528,1128.1915
2/13/2019,1128.1915,1132.3985,1120.3052,1121.0798
2/14/2019,1121.0798,1121.687,1112.0934,1112.8711
2/17/2019,1112.8985,1122.4187,1107.6308,1109.7197
2/18/2019,1111.0714,1111.3401,1101.5226,1102.5147
2/19/2019,1102.5147,1124.9561,1102.2354,1124.9561
2/20/2019,1125.3402,1129.0617,1111.8276,1112.2313
2/21/2019,1112.2777,1114.1768,1109.7809,1113.068
2/24/2019,1113.068,1116.4282,1101.6335,1102.3223
2/25/2019,1102.3223,1110.0873,1099.9768,1109.7288
2/26/2019,1109.8248,1110.5116,1101.4825,1102.557
2/27/2019,1102.5816,1111.2857,1102.8773,1105.5273
3/3/2019,1105.5365,1108.8436,1099.2226,1100.5794
3/5/2019,1100.5798,1104.8428,1098.9511,1102.6408
3/6/2019,1102.6582,1111.8736,1100.9041,1111.7619
3/7/2019,1111.803,1127.7722,1111.7022,1127.7722
3/10/2019,1127.7724,1129.4891,1118.0079,1128.6587
3/11/2019,1128.6587,1142.9871,1125.7049,1142.9341
3/12/2019,1142.9341,1163.32,1143.0655,1163.2606
3/13/2019,1163.692,1166.2921,1148.0453,1150.0979
3/14/2019,1150.1152,1156.9219,1142.696,1155.4642
3/17/2019,1155.4643,1165.5356,1155.3904,1161.4498
3/18/2019,1161.4698,1164.6911,1153.5884,1153.9779
3/19/2019,1153.9779,1158.8066,1146.8749,1147.46
3/21/2019,1147.5011,1150.3757,1139.3476,1140.5705
3/24/2019,1140.5705,1142.1468,1130.9456,1134.7976
3/25/2019,1134.7976,1139.7889,1131.8184,1138.6534
3/26/2019,1138.6665,1141.2071,1136.2028,1140.712
3/27/2019,1140.537,1142.9545,1139.8642,1142.5237
3/28/2019,1142.5237,1145.0145,1140.1127,1144.4947
3/31/2019,1144.4947,1149.8185,1139.5065,1143.554
4/1/2019,1143.554,1152.3658,1142.0552,1149.7534
4/2/2019,1149.7534,1164.9812,1149.6859,1163.8246
4/3/2019,1163.6745,1172.5054,1158.7206,1165.8363
4/4/2019,1166.0806,1169.8827,1159.8985,1165.2002
4/7/2019,1165.2002,1182.4249,1161.5926,1182.3602
4/8/2019,1182.9919,1198.0624,1179.3946,1191.6798
4/9/2019,1191.6798,1194.7379,1179.7527,1181.0954
4/10/2019,1181.0954,1188.154,1174.7442,1184.6108
4/11/2019,1184.6108,1190.0617,1180.134,1184.017
4/15/2019,1184.2116,1188.8526,1181.824,1188.7149
4/16/2019,1188.7149,1212.0496,1187.6984,1212.0496
4/17/2019,1212.0496,1223.6812,1209.511,1217.0425
4/18/2019,1216.8424,1232.28,1214.9337,1232.3062
4/21/2019,1232.3065,1264.3991,1230.0467,1264.196
4/22/2019,1264.5963,1280.176,1246.9695,1256.9366
4/23/2019,1256.9366,1268.3235,1248.4923,1260.15
4/24/2019,1265.1657,1280.844,1261.5796,1279.2892
4/25/2019,1279.2892,1297.047,1279.5475,1292.1203
4/28/2019,1292.9974,1323.0866,1293.1919,1314.5134
4/29/2019,1317.1579,1323.1904,1298.619,1310.3063
4/30/2019,1310.3063,1316.618,1295.9265,1298.6027
5/2/2019,1298.6027,1300.5275,1282.8419,1294.3908
5/5/2019,1294.3908,1294.9511,1276.49,1277.6767
5/6/2019,1278.2117,1299.4053,1270.0384,1299.4053
5/7/2019,1299.3884,1311.2724,1295.4934,1301.2762
5/8/2019,1301.1987,1304.3845,1295.1142,1297.5999
5/9/2019,1297.5999,1302.6811,1289.9779,1291.9641
5/12/2019,1291.9641,1295.1697,1284.0095,1295.0336
5/13/2019,1295.7421,1301.8426,1295.831,1301.3363
5/14/2019,1301.343,1321.2318,1301.6089,1315.4541
5/15/2019,1317.0897,1334.1204,1316.0934,1321.0031
5/16/2019,1322.1681,1326.8545,1313.7446,1318.7115
5/19/2019,1319.9096,1322.259,1312.5447,1316.8398
5/20/2019,1317.4556,1323.4209,1304.8812,1307.7138
5/21/2019,1307.9715,1317.9829,1304.3388,1312.1384
5/22/2019,1313.4532,1322.7573,1313.8797,1319.6301
5/23/2019,1320.93,1324.1507,1308.61,1314.5459
5/26/2019,1314.8353,1318.1037,1301.0916,1302.614
5/27/2019,1302.8662,1309.9824,1298.3164,1302.9554
5/28/2019,1304.0765,1307.1631,1300.3839,1305.4899
5/29/2019,1306.6397,1315.2283,1306.5109,1313.8844
5/30/2019,1321.6854,1349.9451,1317.5847,1319.4687
6/2/2019,1320.073,1320.1654,1304.3599,1305.6797
6/3/2019,1306.3015,1308.8643,1290.6747,1292.8376
6/4/2019,1292.7988,1297.9384,1286.3563,1289.2798
6/6/2019,1295.9294,1296.9617,1284.5911,1284.5919
6/10/2019,1278.2659,1289.6124,1274.2086,1275.8159
6/11/2019,1275.9058,1281.3353,1274.7076,1275.9865
6/12/2019,1275.7097,1277.0422,1267.0966,1272.4795
6/13/2019,1272.6161,1274.8323,1264.2069,1269.6324
6/16/2019,1269.5252,1271.6127,1256.8559,1258.2739
6/17/2019,1259.1237,1264.9712,1254.5161,1260.902
6/18/2019,1260.7559,1263.7296,1258.0064,1258.6695
6/19/2019,1258.9042,1262.1991,1256.587,1258.4689
6/20/2019,1258.7625,1266.4084,1257.8676,1264.3646
6/23/2019,1264.6037,1265.8218,1253.2773,1254.3533
6/24/2019,1254.4488,1260.317,1253.0177,1260.117
6/25/2019,1260.155,1264.5231,1259.3587,1261.0727
6/26/2019,1261.1039,1261.5916,1255.311,1258.2949
6/27/2019,1258.5913,1260.4494,1256.5414,1257.1581
6/30/2019,1257.7709,1259.7859,1244.4405,1244.8931
7/1/2019,1245.6056,1245.6863,1237.4004,1242.0374
7/2/2019,1242.6638,1253.0607,1238.7048,1253.0607
7/3/2019,1253.5412,1270.1368,1249.5015,1268.7399
7/4/2019,1269.478,1272.7929,1258.594,1260.5028
7/7/2019,1261.0432,1264.0026,1254.9467,1256.0493
7/8/2019,1256.2078,1257.5862,1245.5836,1247.3542
7/9/2019,1247.5635,1252.2128,1244.3505,1250.2739
7/10/2019,1250.3823,1251.9303,1246.1551,1249.1516
7/11/2019,1249.2934,1251.0926,1247.6251,1248.5468
7/14/2019,1248.5468,1253.0919,1248.5385,1249.494
7/15/2019,1249.9193,1254.9611,1249.0354,1254.5691
7/16/2019,1285.5432,1285.7171,1256.3454,1259.0172
7/17/2019,1259.0236,1275.0222,1258.809,1274.8648
7/18/2019,1275.7066,1283.6343,1272.4163,1272.4968
7/21/2019,1275.2302,1276.4552,1265.486,1268.7497
7/22/2019,1268.7497,1272.3867,1267.9048,1271.2306
7/23/2019,1271.2425,1279.5631,1271.2248,1277.1743
7/24/2019,1277.1509,1285.0765,1276.0132,1284.0722
7/25/2019,1284.074,1284.4177,1269.2797,1269.9227
7/28/2019,1270.4824,1270.4923,1250.1023,1252.8078
7/29/2019,1252.8078,1259.819,1252.725,1255.9891
7/30/2019,1256.0127,1262.274,1256.0171,1259.379
7/31/2019,1259.5213,1267.7772,1257.7219,1265.579
8/1/2019,1265.4881,1271.039,1262.4086,1263.8403
8/4/2019,1264.5499,1266.4916,1258.2158,1259.6442
8/5/2019,1260.2791,1261.7429,1253.3567,1255.0962
8/6/2019,1255.6753,1255.7582,1243.7403,1245.733
8/7/2019,1244.8103,1250.0848,1239.4013,1248.4864
8/8/2019,1249.0217,1249.109,1237.3054,1238.5643
8/11/2019,1238.3448,1238.3934,1229.6222,1233.7195
8/12/2019,1234.3261,1236.8982,1232.0823,1233.8536
8/13/2019,1234.5316,1236.4973,1228.8878,1231.07
8/14/2019,1231.07,1231.5648,1224.4073,1225.9026
8/15/2019,1225.308,1226.0697,1221.7391,1224.0399
8/18/2019,1223.0645,1226.5855,1214.2616,1214.8363
8/19/2019,1214.864,1229.5172,1210.7287,1222.0661
8/20/2019,1222.1917,1222.9079,1212.0606,1213.6376
8/21/2019,1213.6376,1216.3336,1209.7144,1214.0575
8/22/2019,1214.0575,1220.9097,1212.1185,1213.0671
8/25/2019,1213.0433,1213.3982,1201.6318,1209.6214
8/26/2019,1209.6552,1210.2433,1199.2283,1203.1347
8/27/2019,1203.1347,1212.3139,1203.3788,1208.0095
8/28/2019,1208.0353,1213.4665,1196.9387,1197.7516
8/29/2019,1197.9233,1201.3258,1194.0643,1196.4176
9/1/2019,1196.5794,1198.5823,1183.8962,1184.7871
9/2/2019,1184.9632,1190.9152,1167.79,1170.341
9/3/2019,1170.3559,1191.3122,1156.6757,1190.9065
9/4/2019,1191.4437,1198.5437,1183.19,1194.7745
9/5/2019,1195.4783,1197.2287,1188.8863,1191.0715
9/8/2019,1192.0721,1192.33,1176.3067,1178.4601
9/9/2019,1178.4774,1180.2988,1166.0905,1168.9163
9/10/2019,1168.9163,1172.8634,1161.0834,1166.6746
9/11/2019,1166.6822,1168.087,1161.9504,1163.214
9/12/2019,1163.7115,1164.149,1156.2527,1157.8852
9/15/2019,1157.6814,1161.9121,1139.0665,1140.0171
9/16/2019,1140.4977,1140.556,1121.7215,1123.8351
9/17/2019,1127.2611,1152.6403,1127.2611,1150.7423
9/18/2019,1150.6599,1173.575,1150.6599,1173.4265
9/19/2019,1173.4265,1178.318,1154.336,1155.3021
9/22/2019,1155.3021,1157.8953,1135.0779,1139.2553
9/23/2019,1139.9227,1148.3015,1137.8348,1140.9891
9/24/2019,1140.9928,1141.7167,1132.625,1134.5669
9/25/2019,1134.5669,1136.7437,1130.3067,1131.5348
9/26/2019,1131.5348,1133.8086,1128.4389,1129.8078
9/29/2019,1129.8156,1131.8706,1123.5987,1125.1471
9/30/2019,1125.4971,1136.3831,1121.045,1135.5666
10/1/2019,1135.4163,1146.1151,1134.8188,1145.6945
10/2/2019,1145.6945,1149.7099,1139.8282,1140.7106
10/3/2019,1140.7104,1149.4856,1138.5868,1149.4
10/10/2019,1149.4,1151.8893,1147.9522,1149.0119
10/14/2019,1149.0119,1151.5497,1134.8728,1136.9644
10/15/2019,1136.9644,1142.1032,1134.9242,1142.0454
10/16/2019,1142.0452,1143.1016,1136.0013,1137.0369
10/17/2019,1137.0369,1140.3864,1135.4501,1137.7501
10/20/2019,1137.7499,1138.9945,1132.3568,1133.732
10/21/2019,1133.735,1135.8602,1130.1494,1132.399
10/22/2019,1132.4512,1135.1391,1130.2035,1134.8102
10/23/2019,1135.4016,1142.9811,1135.4016,1142.6142
10/24/2019,1142.4103,1150.5732,1141.2917,1149.3416
10/31/2019,1149.3635,1151.5928,1143.0061,1146.17
11/3/2019,1146.17,1147.0116,1136.3017,1139.2944
11/4/2019,1139.2944,1141.2216,1135.9635,1140.2634
11/5/2019,1140.2634,1141.9034,1138.489,1139.4573
11/6/2019,1139.4573,1141.095,1136.7172,1138.0212
11/7/2019,1138.2771,1139.3631,1131.004,1131.9854
11/10/2019,1132.4711,1135.9053,1129.8318,1131.8028
11/11/2019,1132.7025,1147.7933,1132.7025,1145.5704
11/12/2019,1145.9162,1147.1259,1138.5737,1139.9611
11/13/2019,1139.9609,1140.7717,1133.4135,1135.1642
11/14/2019,1135.1588,1139.5929,1133.5949,1135.9512
11/17/2019,1135.7322,1137.2571,1129.1507,1131.3636
11/18/2019,1131.4061,1133.515,1128.0041,1131.1282
11/19/2019,1131.1332,1132.4148,1127.9079,1129.9922
11/20/2019,1130.0189,1139.9823,1127.6335,1128.3405
11/21/2019,1128.3466,1128.6923,1118.009,1120.622
11/24/2019,1120.622,1121.9512,1108.714,1110.084
11/25/2019,1110.1187,1112.1991,1102.4419,1110.0826
11/26/2019,1110.0826,1112.1525,1107.2436,1109.1679
11/27/2019,1109.0953,1117.5134,1107.9763,1117.4649
11/28/2019,1117.6466,1119.8408,1112.6743,1112.79
12/1/2019,1112.7987,1114.3568,1109.9771,1112.8587
12/2/2019,1112.8587,1113.744,1110.934,1111.9948
12/3/2019,1112.0692,1117.9319,1111.1082,1115.7478
12/4/2019,1116.1292,1128.173,1116.1292,1124.4742
12/5/2019,1124.4742,1135.0008,1124.4419,1131.9246
12/8/2019,1131.9246,1135.3785,1125.6907,1135.3785
12/9/2019,1135.3784,1155.0734,1132.8638,1148.8926
12/10/2019,1149.0952,1158.1753,1147.3475,1151.3681
12/11/2019,1151.3683,1166.3642,1150.8422,1161.4761
12/12/2019,1162.2575,1175.4003,1159.8287,1172.6469
12/15/2019,1172.4453,1182.118,1159.7646,1167.8658
12/16/2019,1167.8658,1170.8573,1152.9343,1154.1156
12/17/2019,1154.1156,1158.3668,1150.6501,1155.3763
12/18/2019,1155.3276,1158.153,1150.0145,1152.0672
12/19/2019,1152.0672,1154.3685,1148.3256,1149.6461
12/22/2019,1149.6204,1151.3727,1147.673,1150.8198
12/23/2019,1150.929,1168.8781,1150.929,1168.5848
12/24/2019,1169.3282,1176.7034,1164.0242,1166.2163
12/25/2019,1166.5628,1173.1464,1165.6341,1168.0351
12/26/2019,1167.7409,1170.4539,1165.8761,1167.4162
12/29/2019,1166.8641,1167.3388,1159.2151,1162.4303
12/30/2019,1161.8209,1167.9564,1159.2248,1167.9564
12/31/2019,1168.6119,1171.6803,1163.0087,1166.0352
1/1/2020,1166.5214,1169.5044,1163.9797,1169.5044
1/2/2020,1169.8853,1171.7853,1165.1269,1166.2187
1/5/2020,1166.2187,1187.414,1163.2329,1182.4326
1/6/2020,1183.3577,1200.6961,1183.256,1200.6961
1/7/2020,1200.6581,1218.2037,1200.6581,1216.9256
1/8/2020,1217.7818,1223.7416,1207.2555,1209.6026
1/9/2020,1209.8724,1216.2804,1206.496,1213.1151
1/12/2020,1213.1911,1255.8049,1213.1911,1255.7229
1/13/2020,1260.0164,1285.7424,1258.9765,1270.8662
1/14/2020,1271.1172,1274.9158,1253.9698,1263.3835
1/15/2020,1263.328,1287.2792,1263.328,1284.2308
1/16/2020,1284.2863,1313.6758,1284.2863,1310.2307
1/19/2020,1310.2697,1349.6239,1310.2697,1343.6577
1/20/2020,1342.7026,1359.6584,1308.3838,1317.1164
1/21/2020,1318.6555,1331.6106,1308.9288,1320.4744
1/22/2020,1324.3241,1326.186,1310.6457,1313.4222
